Sum of Age,Sum of CommuteDistance,CommuteMode,Dept,EduLevel,Count of EmpID,EmpType,Gender,Sum of Experience,haveOT,JobLevel,Sum of JobSatisfaction,MaritalStatus,Sum of NumCompanies,Sum of NumReports,Sum of PhysicalActivityHours,Sum of SleepHours,Sum of Stress,Sum of TeamSize,Sum of TrainingHoursPerYear,Sum of WLB,Sum of WorkEnv,Sum of Workload
31,9,Bike,Customer Service,Bachelor,1,Contract,Female,9,FALSE,Senior,2,Single,3,7,3,6,5,18,44,5,4,2
22,3,Bike,Customer Service,Bachelor,1,Full-Time,Female,0,FALSE,Intern/Fresher,2,Single,0,0,2,8,1,20,10,4,4,5
54,13,Bike,Customer Service,Bachelor,2,Full-Time,Female,10,FALSE,Junior,6,Single,3,0,2,12,5,19,46,6,6,4
50,4,Bike,Customer Service,Bachelor,1,Full-Time,Female,18,FALSE,Lead,5,Married,9,5,2,6,1,22,59,3,3,1
32,4,Bike,Customer Service,Bachelor,1,Full-Time,Female,10,FALSE,Mid,5,Divorced,3,0,1,6,1,15,35,2,4,4
36,10,Bike,Customer Service,Bachelor,1,Full-Time,Female,13,FALSE,Mid,1,Married,4,0,0,4,1,11,36,4,1,5
66,10,Bike,Customer Service,Bachelor,2,Full-Time,Female,22,FALSE,Senior,9,Married,7,10,6,16,2,46,90,5,9,4
41,6,Bike,Customer Service,Bachelor,1,Full-Time,Female,19,TRUE,Mid,3,Married,6,0,3,7,3,12,40,4,4,4
54,2,Bike,Customer Service,Bachelor,1,Full-Time,Female,24,TRUE,Senior,4,Divorced,10,1,3,7,1,15,52,1,4,1
24,9,Bike,Customer Service,Bachelor,1,Full-Time,Male,2,FALSE,Junior,5,Single,0,0,2,6,2,9,21,4,3,2
24,4,Bike,Customer Service,Bachelor,1,Full-Time,Male,2,FALSE,Senior,4,Single,0,9,1,7,1,22,41,1,2,1
29,10,Bike,Customer Service,Bachelor,1,Part-Time,Female,7,FALSE,Junior,4,Single,2,0,1,7,1,8,24,1,5,1
36,4,Bike,Customer Service,Bachelor,1,Part-Time,Female,14,FALSE,Senior,1,Married,4,6,2,8,2,20,47,1,3,5
